"Date","Year","Quarter","Atividades de polícia judiciária - Total de boletins de ocorrência","Atividades de polícia judiciária - Total de inquéritos instaurados","Atividades de polícia judiciária - Total de termos circunstanciados lavrados pela Polícia
  Civil (2)","Atividades policiais - Armas de fogo apreendidas","Atividades policiais - Nº de Veículos Recuperados","Atividades policiais - Nº de autos de apreensão (art 173 ECA)","Atividades policiais - Nº de infratores apreendidos em flagrante","Atividades policiais - Nº de infratores apreendidos por mandado","Atividades policiais - Nº de pessoas presas em flagrante","Atividades policiais - Nº de pessoas presas por mandado","Atividades policiais - Nº de revistas pessoais/ identificação (9)","Atividades policiais - Prisões efetuadas (em flagrante+ por mandado)","Ocorrências envolvendo policiais civis (3) - Pessoas feridas por policiais civis de folga","Ocorrências envolvendo policiais civis (3) - Pessoas mortas por policiais civis de folga (8)","Ocorrências envolvendo policiais civis (3) - Policiais civis feridos em serviço","Ocorrências envolvendo policiais civis (3) - Policiais civis mortos em serviço","Ocorrências envolvendo policiais militares (4) - Pessoas feridas em confronto com a polícia militar em
  serviço","Ocorrências envolvendo policiais militares (4) - Pessoas feridas por policiais militares de folga","Ocorrências envolvendo policiais militares (4) - Pessoas mortas em confronto com a polícia militar em
  serviço (8)","Ocorrências envolvendo policiais militares (4) - Pessoas mortas por policiais militares de folga (8A)","Ocorrências envolvendo policiais militares (4) - Policiais militares feridos em serviço","Ocorrências envolvendo policiais militares (4) - Policiais militares mortos em serviço","Ocorrências policiais registradas, por natureza - Contra a Dignidade Sexual","Ocorrências policiais registradas, por natureza - Contra a pessoa","Ocorrências policiais registradas, por natureza - Contra o patrimônio","Ocorrências policiais registradas, por natureza - Contravencionais","Ocorrências policiais registradas, por natureza - Entorpecentes","Ocorrências policiais registradas, por natureza - Não Criminais","Ocorrências policiais registradas, por natureza - Outros criminais (não inclui contravenções)","Ocorrências policiais registradas, por natureza - Total de delitos","Ocorrências policiais registradas, por tipo - Extorsão mediante seqüestro (5)","Ocorrências policiais registradas, por tipo - Furto - outros","Ocorrências policiais registradas, por tipo - Furto de veículos","Ocorrências policiais registradas, por tipo - Homicídio Culposo (7)","Ocorrências policiais registradas, por tipo - Homicídio Doloso por acidente de trânsito (10)","Ocorrências policiais registradas, por tipo - Homicídio culposo por Acidente de Trânsito","Ocorrências policiais registradas, por tipo - Homicídio doloso","Ocorrências policiais registradas, por tipo - Latrocínio","Ocorrências policiais registradas, por tipo - Lesão corporal culposa outras","Ocorrências policiais registradas, por tipo - Lesão corporal culposa por Acidente de Trânsito","Ocorrências policiais registradas, por tipo - Lesão corporal dolosa","Ocorrências policiais registradas, por tipo - Nº de Vítimas de Latrocínio","Ocorrências policiais registradas, por tipo - Nº de Vítimas em Homicídio Doloso","Ocorrências policiais registradas, por tipo - Roubo a Banco","Ocorrências policiais registradas, por tipo - Roubo de Carga","Ocorrências policiais registradas, por tipo - Roubo de veículos","Ocorrências policiais registradas, por tipo - Tentativa de homicídio","Ocorrências policiais registradas, por tipo - Tráfico de entorpecentes"
2016-01-01,2016,1,719983,99929,41191,4361,21525,4207,5603,1414,35369,14806,4357405,42765,10,7,19,0,97,70,141,46,46,3,3154,132496,299139,12128,16036,373768,30455,493408,6,126950,27809,846,10,794,890,77,802,23800,37049,79,917,28,2152,19196,1115,11629
2016-04-01,2016,2,719902,104720,40167,4249,20657,4050,5580,1451,36080,17141,4378615,44989,6,7,32,2,124,57,138,55,32,5,3033,124705,303069,11590,15450,365758,30930,488777,8,129289,28560,972,10,928,838,86,708,25830,32708,89,867,37,2246,18765,965,12249
2016-07-01,2016,3,727494,103424,38891,4143,20574,3694,5116,1652,34113,17481,4545462,43393,15,3,29,2,120,60,124,60,61,4,3366,126833,306315,11629,13906,373946,31961,494010,9,128529,28468,970,14,925,855,93,833,25440,33082,96,889,35,2629,18799,1005,10968
2016-10-01,2016,4,722026,98612,36649,4120,21369,3776,4840,1221,33148,16689,4124897,41877,8,7,21,1,168,76,174,81,47,7,3182,129008,305699,11263,13358,373317,28836,491346,7,130124,26095,905,17,860,938,96,876,23321,36216,97,1001,37,2916,21189,1032,10703
2017-01-01,2017,1,732504,99785,36527,3969,20508,3930,5078,1169,34060,17530,4091542,42835,5,7,33,1,132,71,160,57,38,2,3220,128938,306385,11065,15033,390953,27204,491845,6,134187,26609,823,12,780,878,104,939,21701,35582,106,942,35,2762,18052,1002,12005
2017-04-01,2017,2,714179,102096,36816,3989,19145,3741,4822,1344,33604,19501,4340581,45103,10,3,30,1,131,52,153,61,50,5,3246,118237,298009,10749,14986,384362,27836,473063,2,128609,26379,973,14,927,784,99,802,23866,32290,100,834,22,2655,16824,949,12443
2017-07-01,2017,3,711629,99266,36841,3880,18151,3566,4544,1450,33116,19398,4384913,44779,8,6,26,1,109,48,141,60,44,1,4762,117083,290144,10768,14815,388409,30041,467613,6,126876,26163,981,13,947,777,63,729,22891,32781,63,820,16,2623,16099,847,12481
2017-10-01,2017,4,685858,95413,31434,3759,18022,3486,4334,1155,32890,17868,4190075,43240,6,3,14,1,119,49,189,57,40,3,3708,119834,281885,10352,14900,377211,25989,456668,1,125923,25678,869,13,833,855,68,715,21124,35483,69,908,24,2544,16989,1015,12417
2018-01-01,2018,1,681801,93730,31954,3537,16309,3266,3956,1118,32888,18622,4015132,43561,9,4,24,1,108,49,157,35,39,4,3845,118296,286728,10020,15472,380383,25053,459414,8,130954,25118,739,15,698,766,66,753,19464,34240,68,804,13,2283,13811,929,13130
2018-04-01,2018,2,667771,97495,30473,3393,16244,3287,3974,1120,32630,19563,3893371,44338,3,5,30,0,119,50,164,41,39,1,3577,111968,277222,9934,14275,357509,25597,442573,9,123694,24541,880,7,842,729,69,770,20683,31759,71,766,18,2207,15012,842,12385
2018-07-01,2018,3,655916,91805,29759,3251,15961,3034,3835,1197,31795,23359,3765893,47239,7,6,23,0,92,37,156,46,40,5,3558,104736,271044,9426,14230,328028,26537,429531,2,124635,25104,903,9,863,689,66,754,18909,29388,67,726,13,2126,14076,813,12110
