"Date","Region","Atividades de polícia judiciária - Total de boletins de ocorrência","Atividades de polícia judiciária - Total de inquéritos instaurados","Atividades de polícia judiciária - Total de termos circunstanciados lavrados pela Polícia
  Civil (2)","Atividades policiais - Armas de fogo apreendidas","Atividades policiais - Nº de Veículos Recuperados","Atividades policiais - Nº de autos de apreensão (art 173 ECA)","Atividades policiais - Nº de infratores apreendidos em flagrante","Atividades policiais - Nº de infratores apreendidos por mandado","Atividades policiais - Nº de pessoas presas em flagrante","Atividades policiais - Nº de pessoas presas por mandado","Atividades policiais - Nº de revistas pessoais/ identificação (9)","Atividades policiais - Prisões efetuadas (em flagrante+ por mandado)","Ocorrências envolvendo policiais civis (3) - Pessoas feridas por policiais civis de folga","Ocorrências envolvendo policiais civis (3) - Pessoas mortas por policiais civis de folga (8)","Ocorrências envolvendo policiais civis (3) - Policiais civis feridos em serviço","Ocorrências envolvendo policiais civis (3) - Policiais civis mortos em serviço","Ocorrências envolvendo policiais militares (4) - Pessoas feridas em confronto com a polícia militar em
  serviço","Ocorrências envolvendo policiais militares (4) - Pessoas feridas por policiais militares de folga","Ocorrências envolvendo policiais militares (4) - Pessoas mortas em confronto com a polícia militar em
  serviço (8)","Ocorrências envolvendo policiais militares (4) - Pessoas mortas por policiais militares de folga (8A)","Ocorrências envolvendo policiais militares (4) - Policiais militares feridos em serviço","Ocorrências envolvendo policiais militares (4) - Policiais militares mortos em serviço","Ocorrências policiais registradas, por natureza - Contra a Dignidade Sexual","Ocorrências policiais registradas, por natureza - Contra a pessoa","Ocorrências policiais registradas, por natureza - Contra o patrimônio","Ocorrências policiais registradas, por natureza - Contravencionais","Ocorrências policiais registradas, por natureza - Entorpecentes","Ocorrências policiais registradas, por natureza - Não Criminais","Ocorrências policiais registradas, por natureza - Outros criminais (não inclui contravenções)","Ocorrências policiais registradas, por natureza - Total de delitos","Ocorrências policiais registradas, por tipo - Extorsão mediante seqüestro (5)","Ocorrências policiais registradas, por tipo - Furto - outros","Ocorrências policiais registradas, por tipo - Furto de veículos","Ocorrências policiais registradas, por tipo - Homicídio Culposo (7)","Ocorrências policiais registradas, por tipo - Homicídio Doloso por acidente de trânsito (10)","Ocorrências policiais registradas, por tipo - Homicídio culposo por Acidente de Trânsito","Ocorrências policiais registradas, por tipo - Homicídio doloso","Ocorrências policiais registradas, por tipo - Latrocínio","Ocorrências policiais registradas, por tipo - Lesão corporal culposa outras","Ocorrências policiais registradas, por tipo - Lesão corporal culposa por Acidente de Trânsito","Ocorrências policiais registradas, por tipo - Lesão corporal dolosa","Ocorrências policiais registradas, por tipo - Nº de Vítimas de Latrocínio","Ocorrências policiais registradas, por tipo - Nº de Vítimas em Homicídio Doloso","Ocorrências policiais registradas, por tipo - Roubo a Banco","Ocorrências policiais registradas, por tipo - Roubo de Carga","Ocorrências policiais registradas, por tipo - Roubo de veículos","Ocorrências policiais registradas, por tipo - Tentativa de homicídio","Ocorrências policiais registradas, por tipo - Tráfico de entorpecentes"
2016-01-01,"Capital",158856,25873,4748,1063,8321,1078,1191,80,10238,2746,1072538,9393,7,3,5,0,48,51,77,26,17,0,659,25636,117279,1479,3714,122622,5716,154483,3,44654,10991,91,4,82,223,23,213,4083,7615,23,231,10,1329,9245,229,2228
2016-01-01,"Deinter 1",44540,6420,2632,288,800,292,412,84,1902,838,337703,2435,0,0,1,0,4,0,5,0,4,1,218,8567,12916,695,911,18695,1512,24819,0,6511,996,63,2,58,102,4,37,1253,2243,4,106,0,41,470,117,824
2016-01-01,"Deinter 10",16154,2495,780,94,139,93,135,53,788,430,95160,1112,0,0,2,0,0,0,0,0,0,0,69,3602,3726,375,480,6554,846,9098,0,2269,157,33,0,28,27,2,23,878,912,2,27,0,0,18,37,392
2016-01-01,"Deinter 2",69720,7531,3072,329,1673,265,388,127,2808,1080,246580,3425,0,1,3,0,3,0,6,0,3,0,291,12345,22403,979,1223,30000,2712,39953,0,10223,2264,82,0,78,61,5,77,2466,3334,5,61,4,121,1356,91,995
2016-01-01,"Deinter 3",68477,8494,4483,358,1381,520,621,178,2930,1414,566151,3787,0,0,2,0,4,0,11,1,2,0,238,13092,19598,1670,1818,28852,2877,39293,1,11686,1690,95,0,91,66,4,67,2134,3482,5,69,0,44,336,87,1381
2016-01-01,"Deinter 4",41545,5628,4732,241,488,256,330,131,1813,1037,156878,2552,0,0,1,0,2,0,0,0,3,0,198,9800,9723,1307,1038,16476,2117,24183,0,5908,557,57,0,54,45,2,29,1986,2687,2,48,0,10,50,51,772
2016-01-01,"Deinter 5",27894,4521,2765,193,420,139,184,99,1109,804,126180,1588,0,0,0,0,2,0,1,2,1,0,131,7068,7152,764,630,9513,1816,17561,0,4189,653,59,1,55,24,3,76,1508,1844,3,24,1,1,72,44,556
2016-01-01,"Deinter 6",34758,5038,2697,287,963,244,389,110,2042,1137,344667,2904,0,1,0,0,10,2,12,2,4,1,172,6840,16976,699,1118,21382,1738,27543,1,7798,1094,59,0,57,43,6,47,1045,1871,6,44,3,72,754,86,552
2016-01-01,"Deinter 7",45463,6829,2613,339,693,224,320,137,2516,1354,207142,3485,0,0,2,0,6,0,1,3,1,0,328,10079,12357,962,1214,18350,2658,27598,0,6650,1097,88,2,84,42,6,26,1669,2856,6,42,1,24,333,88,1042
2016-01-01,"Deinter 8",17987,2906,3274,83,145,104,111,111,750,589,61528,1157,0,0,0,0,1,0,0,1,0,0,84,4627,3407,557,567,7272,1099,10341,0,2061,139,24,0,24,12,0,26,889,1211,0,13,0,2,5,21,306
2016-01-01,"Deinter 9",61689,6970,4581,307,1775,242,518,184,2443,1258,248877,3443,0,0,1,0,2,4,5,0,3,1,214,11834,17617,1195,1375,27377,2991,35226,1,8037,2307,72,1,66,60,2,49,2626,3251,3,62,1,64,761,61,1208
