Year,Quarter,Category,Metric,Capital,Gde SP(1),Interior,Deinter 1,Deinter 2,Deinter 3,Deinter 4,Deinter 5,Deinter 6,Deinter 7,Deinter 8,Deinter 9,Deinter 10,Estado
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contra a pessoa",25636,19006,87854,8567,12345,13092,9800,7068,6840,10079,4627,11834,3602,132496
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contra o patrimônio",117279,55985,125875,12916,22403,19598,9723,7152,16976,12357,3407,17617,3726,299139
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contra a Dignidade Sexual",659,552,1943,218,291,238,198,131,172,328,84,214,69,3154
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Entorpecentes",3714,1948,10374,911,1223,1818,1038,630,1118,1214,567,1375,480,16036
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contravencionais",1479,1446,9203,695,979,1670,1307,764,699,962,557,1195,375,12128
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Outros criminais (não inclui contravenções)",5716,4373,20366,1512,2712,2877,2117,1816,1738,2658,1099,2991,846,30455
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio,
  Estupro e EMS)",49678,26082,27581,3584,6026,2953,1089,902,5792,2461,195,4170,409,103341
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Total de delitos",154483,83310,255615,24819,39953,39293,24183,17561,27543,27598,10341,35226,9098,493408
2016,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Não Criminais",122622,66675,184471,18695,30000,28852,16476,9513,21382,18350,7272,27377,6554,373768
2016,01,Atividades de polícia judiciária,Atividades de polícia judiciária - Total de boletins de ocorrência,158856,132900,428227,44540,69720,68477,41545,27894,34758,45463,17987,61689,16154,719983
2016,01,Atividades de polícia judiciária,"Atividades de polícia judiciária - Total de termos circunstanciados lavrados pela Polícia
  Civil (2)",4748,4814,31629,2632,3072,4483,4732,2765,2697,2613,3274,4581,780,41191
2016,01,Atividades de polícia judiciária,Atividades de polícia judiciária - Total de inquéritos instaurados,25873,17224,56832,6420,7531,8494,5628,4521,5038,6829,2906,6970,2495,99929
2016,01,Ocorrências envolvendo policiais civis (3),"Ocorrências envolvendo policiais civis (3) - Pessoas mortas em confronto com a polícia civil em serviço
  (8)",3,3,1,0,0,1,0,0,0,0,0,0,0,7
2016,01,Ocorrências envolvendo policiais civis (3),Ocorrências envolvendo policiais civis (3) - Pessoas mortas por policiais civis de folga (8),3,2,2,0,1,0,0,0,1,0,0,0,0,7
2016,01,Ocorrências envolvendo policiais civis (3),"Ocorrências envolvendo policiais civis (3) - Pessoas feridas em confronto com a polícia civil em
  serviço",8,4,4,2,1,0,0,1,0,0,0,0,0,16
2016,01,Ocorrências envolvendo policiais civis (3),Ocorrências envolvendo policiais civis (3) - Pessoas feridas por policiais civis de folga,7,3,0,0,0,0,0,0,0,0,0,0,0,10
2016,01,Ocorrências envolvendo policiais civis (3),Ocorrências envolvendo policiais civis (3) - Policiais civis mortos em serviço,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,01,Ocorrências envolvendo policiais civis (3),Ocorrências envolvendo policiais civis (3) - Policiais civis feridos em serviço,5,2,12,1,3,2,1,0,0,2,0,1,2,19
2016,01,Atividades policiais,Atividades policiais - Prisões efetuadas (em flagrante+ por mandado),9393,7484,25888,2435,3425,3787,2552,1588,2904,3485,1157,3443,1112,42765
2016,01,Atividades policiais,Atividades policiais - Nº de pessoas presas em flagrante,10238,6030,19101,1902,2808,2930,1813,1109,2042,2516,750,2443,788,35369
2016,01,Atividades policiais,Atividades policiais - Nº de pessoas presas por mandado,2746,2119,9941,838,1080,1414,1037,804,1137,1354,589,1258,430,14806
2016,01,Atividades policiais,Atividades policiais - Nº de autos de apreensão (art 173 ECA),1078,750,2379,292,265,520,256,139,244,224,104,242,93,4207
2016,01,Atividades policiais,Atividades policiais - Nº de infratores apreendidos em flagrante,1191,1004,3408,412,388,621,330,184,389,320,111,518,135,5603
2016,01,Atividades policiais,Atividades policiais - Nº de infratores apreendidos por mandado,80,120,1214,84,127,178,131,99,110,137,111,184,53,1414
2016,01,Atividades policiais,Atividades policiais - Nº de revistas pessoais/ identificação (9),1072538,457561,2827306,337703,246580,566151,156878,126180,344667,207142,61528,248877,95160,4357405
2016,01,Atividades policiais,Atividades policiais - Armas de fogo apreendidas,1063,779,2519,288,329,358,241,193,287,339,83,307,94,4361
2016,01,Atividades policiais,Atividades policiais - Nº de Veículos Recuperados,8321,4727,8477,800,1673,1381,488,420,963,693,145,1775,139,21525
2016,01,Ocorrências envolvendo policiais militares (4),"Ocorrências envolvendo policiais militares (4) - Pessoas mortas em confronto com a polícia militar em
  serviço (8)",77,23,41,5,6,11,0,1,12,1,0,5,0,141
2016,01,Ocorrências envolvendo policiais militares (4),Ocorrências envolvendo policiais militares (4) - Pessoas mortas por policiais militares de folga (8A),26,11,9,0,0,1,0,2,2,3,1,0,0,46
2016,01,Ocorrências envolvendo policiais militares (4),"Ocorrências envolvendo policiais militares (4) - Pessoas feridas em confronto com a polícia militar em
  serviço",48,15,34,4,3,4,2,2,10,6,1,2,0,97
2016,01,Ocorrências envolvendo policiais militares (4),Ocorrências envolvendo policiais militares (4) - Pessoas feridas por policiais militares de folga,51,13,6,0,0,0,0,0,2,0,0,4,0,70
2016,01,Ocorrências envolvendo policiais militares (4),Ocorrências envolvendo policiais militares (4) - Policiais militares mortos em serviço,0,0,3,1,0,0,0,0,1,0,0,1,0,3
2016,01,Ocorrências envolvendo policiais militares (4),Ocorrências envolvendo policiais militares (4) - Policiais militares feridos em serviço,17,8,21,4,3,2,3,1,4,1,0,3,0,46
2016,01,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Homicídio doloso",223,185,482,102,61,66,45,24,43,42,12,60,27,890
2016,01,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Nº de Vítimas em Homicídio Doloso",231,190,496,106,61,69,48,24,44,42,13,62,27,917
2016,01,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Homicídio Doloso por acidente de trânsito (10)",4,0,6,2,0,0,0,1,0,2,0,1,0,10
2016,01,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Nº de Vítimas em Homicídio Doloso por acidente de trânsito
  (11)",4,0,6,2,0,0,0,1,0,2,0,1,0,10
2016,01,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Homicídio culposo por Acidente de Trânsito",82,117,595,58,78,91,54,55,57,84,24,66,28,794
